,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
242,"Wheat pancakes 4"" diam.",4,108,250.0,7,9,0.0,0.1,28.0,Starchy
243,"Pizza 14"" diam.",1 section,75,180.0,8,6,5.0,0.0,23.0,Starchy
244,Popcorn salted,2 cups,28,152.0,3,7,2.0,0.5,20.0,Starchy
245,Puffed rice,1 cup,14,55.0,0,0,0.0,0.0,12.0,Starchy
246,Puffed wheat presweetened,1 cup,28,105.0,1,0,0.0,0.6,26.0,Starchy
247,Rice,1 cup,208,748.0,15,3,0.0,1.2,154.0,Starchy
248,Converted,1 cup,187,677.0,14,0,0.0,0.4,142.0,Starchy
249,White,1 cup,191,692.0,14,0,0.0,0.3,150.0,Starchy
250,Rice flakes,1 cup,30,115.0,2,0,0.0,0.1,26.0,Starchy
251,Rice polish,1/2 cup,50,132.0,6,6,0.0,1.2,28.0,Starchy
252,Rolls,1 large,50,411.0,3,12,11.0,0.1,23.0,Starchy
253,of refined flour,1,38,115.0,3,2,2.0,0.0,20.0,Starchy
254,whole-wheat,1,40,102.0,4,1,0.0,0.1,20.0,Starchy
255,Spaghetti with meat sauce,1 cup,250,285.0,13,10,6.0,0.5,35.0,Starchy
256,with tomatoes and cheese,1 cup,250,210.0,6,5,3.0,0.5,36.0,Starchy
257,Spanish rice,1 cup,250,217.0,4,4,0.0,1.2,40.0,Starchy
258,Shredded wheat biscuit,1,28,100.0,3,1,0.0,0.7,23.0,Starchy
259,Waffles,1,75,240.0,8,9,1.0,0.1,30.0,Starchy
260,Wheat germ,1 cup,68,245.0,17,7,3.0,2.5,34.0,Starchy
261,Wheat-germ cereal toasted,1 cup,65,260.0,20,7,3.0,2.5,36.0,Starchy
262,Wheat meal cereal unrefined,3/4 cup,30,103.0,4,1,0.0,0.7,25.0,Starchy
263,Wheat cooked,3/4 cup,200,275.0,12,1,0.0,4.4,35.0,Starchy
264,Bean soups,1 cup,250,190.0,8,5,4.0,0.6,30.0,Soups
265,Beef soup,1 cup,250,100.0,6,4,4.0,0.5,11.0,Soups
266,Bouillon,1 cup,240,24.0,5,0,0.0,0.0,0.0,Soups
267,chicken soup,1 cup,250,75.0,4,2,2.0,0.0,10.0,Soups
268,Clam chowder,1 cup,255,85.0,5,2,8.0,0.5,12.0,Soups
269,Cream soups,1 cup,255,200.0,7,12,11.0,1.2,18.0,Soups
270,Noodle,1 cup,250,115.0,6,4,3.0,0.2,13.0,Soups
271,Split-pea soup,1 cup,250,147.0,8,3,3.0,0.5,25.0,Soups
272,Tomato soup,1 cup,245,175.0,6,7,6.0,0.5,22.0,Soups
273,Vegetable,1 cup,250,80.0,4,2,2.0,0.0,14.0,Soups
274,Apple betty,1 serving,100,150.0,1,4,0.0,0.5,29.0,Sweets
275,Bread pudding,3/4 cup,200,374.0,11,12,11.0,0.2,56.0,Sweets
276,Cakes,1 slice,40,110.0,3,0,0.0,0.0,23.0,Sweets
277,Chocolate fudge,1 slice,120,420.0,5,14,12.0,0.3,70.0,Sweets
278,Cupcake,1,50,160.0,3,3,2.0,0.0,31.0,Sweets
279,Fruit cake,1 slice,30,105.0,2,4,3.0,0.2,17.0,Sweets
280,Gingerbread,1 slice,55,180.0,2,7,6.0,0.0,28.0,Sweets
281,Plain with no icing,1 slice,55,180.0,4,5,4.0,0.0,31.0,Sweets
282,Sponge cake,1 slice,40,115.0,3,2,2.0,0.0,22.0,Sweets
283,Candy,5,25,104.0,0,3,3.0,0.0,19.0,Sweets
284,Chocolate creams,2,30,130.0,0,4,4.0,0.0,24.0,Sweets
285,Fudge,2 pieces,90,370.0,0,12,11.0,0.1,80.0,Sweets
286,Hard candies,1 oz.,28,90.0,0,0,0.0,0.0,28.0,Sweets
287,Marshmallows,5,30,98.0,1,0,0.0,0.0,23.0,Sweets
288,Milk chocolate,2-oz. bar,56,290.0,2,6,6.0,0.2,44.0,Sweets
289,Chocolate syrup,2 T.,40,80.0,0,0,0.0,0.0,22.0,Sweets
290,Doughnuts,1,33,135.0,2,7,4.0,0.0,17.0,Sweets
291,Gelatin made with water,1 cup,239,155.0,4,0,0.0,0.0,36.0,Sweets
292,Honey,2 T.,42,120.0,0,0,0.0,0.0,30.0,Jams Jellies
